Panthera atrox
Panthera spelaea
Papagomys theodorverhoeveni
Paraceros fragilis
Paramylodon harlani
Parocnus browni
Parocnus serus
Pelorovis antiquus
Pennatomys nivalis
Perameles eremiana
Peromyscus guardia
Peromyscus nesodytes
Peromyscus pembertoni
Peroryctes SP_NOW
Peroryctinae GEN_NOW
Petauroides ayamaruensis
Phanourios minutes
Phascolomys medius
Phascolonus gigas
Phyllonycteris major
Phyllops silvai
Plagiodontia ipnaeum
Platygonus compressus
Plesiorycteropus madagascariensis
Pliomys lenki
Potorous platyops
Praemegaceros cazioti
Procoptodon browneorum
Procoptodon gilli
Procoptodon goliah
Prolagus sardus
Propleopus oscillans
Propraopus punctatus
Propraopus sulcatus
Protemnodon anak
Protemnodon brehus
Protemnodon hopei
Protemnodon nombe
Protemnodon roechus
Protemnodon tumbuna
Protocyon troglodytes
Protopithecus brasiliensis
Pseudomys glaucus
Pseudomys gouldii
Pteralopex pulchra
Pteropus allenorum
Pteropus brunneus
Pteropus coxi
Pteropus loochoensis
Pteropus pilosus
Pteropus subniger
Pteropus tokudae
Pteropus tuberculatus
Quemisia gravis
Rattus macleari
Rattus nativitatis
Rattus sanila
Rhinopoma macinnesi
Rhizoplagiodontia lemkei
Rucervus schomburgki
Rusingoryx atopocranion
Sangamona fugitiva
Scelidodon chiliensis
Scelidotherium leptocephalum
Scotophilus borbonicus
Simosthenurus occidentalis
Sinomegaceros ordosianus
Sinomegaceros yabei
Smilodon fatalis
Smilodon populator
Soergelia minor
Solenodon marcanoi
Solomys spriggsarum
Spelaeomys florensis
Spirocerus kiakhtensis
Stegodon florensis
Stegodon orientalis
Stegodon trigonocephalus
Stephanorhinus hemitoechus
Stephanorhinus kirchbergensis
Sthenurus andersoni
Sthenurus atlas
Sthenurus stirlingi
Sthenurus tindalei
Stockoceros conklingi
Sus brachgnathus
Tapirus augustus
Tapirus copei
Tapirus rondoniensis
Tapirus veroensis
Tetrameryx shuleri
Theriodictis tarijensis
Thylacinus cynocephalus
Thylacoleo carnifex
Thylogale christenseni
Toxodon platensis
Tremarctos floridanus
Trigonodops lopesi
Troposodon minor
Tupaia moellendorffi
Uromys emmae
Uromys imperator
Uromys porculus
Ursus spelaeus
Valgipes deformis
Vombatus hacketti
Wallabia kitcheneri
Xaymaca fulvopulvis
Xenorhinotherium bahiense
Xenothrix mcgregori
Zaglossus hacketti
Zalophus japonicus
Zygomaturus trilobus
