id_no,binomial,presence,origin,seasonal,compiler,year,citation,source,dist_comm,island,subspecies,subpop,legend,tax_comm,kingdom_na,phylum_nam,class_name,order_name,family_nam,genus_name,code,shape_Leng,shape_Area
17314,Pipistrellus kuhlii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,Lesbo,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,3.227012461,0.171976688
17314,Pipistrellus kuhlii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,Madagascar,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,11.08125839,3.886622897
17314,Pipistrellus kuhlii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,Majorca,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,4.078057862,0.380030297
17315,Pipistrellus maderensis,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,Porto Santo,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,VU,0.316214185,0.004409378
17345,Hypsugo joffrei,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Hypsugo,DD,3.081772593,0.358629862
18722,Pteropus dasymallus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Nakano,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Pteropus,NT,0.231316275,0.003074885
17314,Pipistrellus kuhlii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,Malta,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,1.325639824,0.031093478
17314,Pipistrellus kuhlii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,Minorca,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,1.801265547,0.074462017
17346,Hypsugo kitcheneri,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Hypsugo,DD,11.66062893,3.05013575
17314,Pipistrellus kuhlii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,Rhodes,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,2.062313452,0.141881954
17314,Pipistrellus kuhlii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,Sardinia,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,11.94852203,2.532570298
17314,Pipistrellus kuhlii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,Sicily,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,10.24217358,2.618374221
17314,Pipistrellus kuhlii,6,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,,,,Not Mapped,,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,13.46776913,3.066149189
17315,Pipistrellus maderensis,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,El Hierro,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,VU,0.833177827,0.026987678
17315,Pipistrellus maderensis,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,La Gomera,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,VU,0.714117217,0.03356718
17315,Pipistrellus maderensis,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,La Palma,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,VU,1.118628244,0.065622404
17347,Hypsugo lophurus,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Hypsugo,DD,0.053278673,0.000221525
17315,Pipistrellus maderensis,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,Tenerife,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,VU,2.292254361,0.187070465
17315,Pipistrellus maderensis,6,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,Corvo,,,Not Mapped,,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,VU,0.181463219,0.002086652
17315,Pipistrellus maderensis,6,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,Flores,,,Not Mapped,,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,VU,0.524606728,0.015765136
17315,Pipistrellus maderensis,6,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,Graciosa,,,Not Mapped,,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,VU,0.344048324,0.006942475
17315,Pipistrellus maderensis,6,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,San Jorge,,,Not Mapped,,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,VU,1.278776951,0.026772218
