id_no,binomial,presence,origin,seasonal,compiler,year,citation,source,dist_comm,island,subspecies,subpop,legend,tax_comm,kingdom_na,phylum_nam,class_name,order_name,family_nam,genus_name,code,shape_Leng,shape_Area
17326,Pipistrellus angulatus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Mioko,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,0.035033036,5.19E-05
19527,Rhinolophus borneensis,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Serutu,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,0.257426179,0.00170416
17326,Pipistrellus angulatus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,New Georgia,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,3.632894671,0.171565775
17326,Pipistrellus angulatus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,New Guinea,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,60.68857965,22.3096801
17326,Pipistrellus angulatus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Normanby,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,2.395953017,0.072920215
17326,Pipistrellus angulatus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Rob Roy,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,0.410869316,0.006832435
19527,Rhinolophus borneensis,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Subi,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,0.48293123,0.01103877
19527,Rhinolophus borneensis,2,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,,,,Probably Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,1.428929917,0.151193695
17326,Pipistrellus angulatus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,New Ireland,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,8.778680047,0.57155787
17328,Pipistrellus arabicus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,DD,6.615952847,1.673408431
